"FileName","SolidFlags","EdgeUp","EdgeDown","EdgeLeft","EdgeRight","Fill","Comment"
"G17","BEL+BEU+BED","EMPTY","HCOR_RIGHTN","EMPTY","SCOR_DOWNN","15","Close Corners"
"G18","BEL+BEU+BED","HCOR_RIGHTN","EMPTY","EMPTY","SCOR_UPN","15","Close Corners"
"G21","BSU+BSR+BSL","SOLID","OCOR_LEFTN","SCOR_DOWNN","SOLID","85","Close Corners"
"G22","BSU+BSR+BSL","SOLID","OCOR_RIGHTN","SOLID","SCOR_DOWNN","85","Close Corners"
"G23","BSR+BSD+BSU","SCOR_LEFTN","SOLID","OCOR_UPN","SOLID","85","Close Corners"
"G24","BSR+BSD+BSU","SOLID","SCOR_LEFTN","OCOR_DOWNN","SOLID","85","Close Corners"
"G25","BSD+BSL+BSR","OCOR_RIGHTN","SOLID","SOLID","SCOR_UPN","85","Close Corners"
"G26","BSD+BSL+BSR","OCOR_LEFTN","SOLID","SCOR_UPN","SOLID","85","Close Corners"
"G27","BSL+BSU+BSD","SOLID","SCOR_RIGHTN","SOLID","OCOR_DOWNN","85","Close Corners"
"G28","BSL+BSU+BSD","SCOR_RIGHTN","SOLID","SOLID","OCOR_UPN","85","Close Corners"
"H11","BER","HCOR_LEFTT","HALF_LEFT","SCOR_UPT","EMPTY","45","Close Corners"
"H12","BEL","HCOR_RIGHTT","HALF_RIGHT","EMPTY","SCOR_UPT","45","Close Corners"
"H13","BED","SCOR_RIGHTT","EMPTY","HALF_UP","HCOR_UPT","45","Close Corners"
"H14","BEU","EMPTY","SCOR_RIGHTT","HALF_DOWN","HCOR_DOWNT","45","Close Corners"
"H15","BEL","HALF_RIGHT","HCOR_RIGHTT","EMPTY","SCOR_DOWNT","45","Close Corners"
"H16","BER","HALF_LEFT","HCOR_LEFTT","SCOR_DOWNT","EMPTY","45","Close Corners"
"H17","BEU","EMPTY","SCOR_LEFTT","HCOR_DOWNT","HALF_DOWN","45","Close Corners"
"H18","BED","SCOR_LEFTT","EMPTY","HCOR_UPT","HALF_UP","45","Close Corners"
"H21","BSR","OCOR_LEFTT","HALF_RIGHT","ECOR_UPT","SOLID","55","Close Corners"
"H22","BSL","OCOR_RIGHTT","HALF_LEFT","SOLID","ECOR_UPT","55","Close Corners"
"H23","BSD","ECOR_RIGHTT","SOLID","HALF_DOWN","OCOR_UPT","55","Close Corners"
"H24","BSU","SOLID","ECOR_RIGHTT","HALF_UP","OCOR_DOWNT","55","Close Corners"
"H25","BSL","HALF_LEFT","OCOR_RIGHTT","SOLID","ECOR_DOWNT","55","Close Corners"
"H26","BSR","HALF_RIGHT","OCOR_LEFTT","ECOR_DOWNT","SOLID","55","Close Corners"
"H27","BSU","SOLID","ECOR_LEFTT","OCOR_DOWNT","HALF_UP","55","Close Corners"
"H28","BSD","ECOR_LEFTT","SOLID","OCOR_UPT","HALF_DOWN","55","Close Corners"
"I11","BEU+BER+BSD+BEL","EMPTY","SBICORNERN","ECOR_DOWNN","ECOR_DOWNN","20","Oblique Corners"
"I12","BEU+BER+BED+BSL","ECOR_LEFTN","ECOR_LEFTN","SBICORNERN","EMPTY","20","Oblique Corners"
"I13","BSU+BER+BED+BEL","SBICORNERN","EMPTY","ECOR_UPN","ECOR_UPN","20","Oblique Corners"
"I14","BEU+BSR+BED+BEL","ECOR_RIGHTN","ECOR_RIGHTN","EMPTY","SBICORNERN","20","Oblique Corners"
"I21","BSU+BSR+BED+BSL","SOLID","EBICORNERN","SCOR_DOWNN","SCOR_DOWNN","80","Oblique Corners"
"I22","BSU+BSR+BSD+BEL","SCOR_LEFTN","SCOR_LEFTN","EBICORNERN","SOLID","80","Oblique Corners"
"I23","BEU+BSR+BSD+BSL","EBICORNERN","SOLID","SCOR_UPN","SCOR_UPN","80","Oblique Corners"
"I24","BSU+BER+BSD+BSL","ECOR_RIGHTN","ECOR_RIGHTN","SOLID","EBICORNERN","80","Oblique Corners"
"J11","BE","SBICORNERT","SOLID","SCOR_UPT","SCOR_UPT","90","Oblique Corners"
"J12","BE","SCOR_RIGHTT","SCOR_RIGHTT","SOLID","SBICORNERT","90","Oblique Corners"
"J13","BE","SOLID","SBICORNERT","SCOR_DOWNT","SCOR_DOWNT","90","Oblique Corners"
"J14","BE","SCOR_LEFTT","SCOR_LEFTT","SBICORNERT","SOLID","90","Oblique Corners"
"J21","BS","EBICORNERT","EMPTY","ECOR_UPT","ECOR_UPT","10","Oblique Corners"
"J22","BS","ECOR_RIGHTT","ECOR_RIGHTT","EMPTY","EBICORNERT","10","Oblique Corners"
"J23","BS","EMPTY","EBICORNERT","ECOR_DOWNT","ECOR_DOWNT","10","Oblique Corners"
"J24","BS","ECOR_LEFTT","ECOR_LEFTT","EBICORNERT","EMPTY","10","Oblique Corners"
"K1","BE","EBICORNERT","EBICORNERT","EBICORNERT","EBICORNERT","80","Singularities"
"K2","BS","SBICORNERT","SBICORNERT","SBICORNERT","SBICORNERT","20","Singularities"
"L11","BSD","EBICORNERT","SOLID","OCOR_UPT","OCOR_UPT","60","Singularities"
"L12","BSL","OCOR_RIGHTT","OCOR_RIGHTT","SOLID","EBICORNERT","60","Singularities"
"L13","BSU","SOLID","EBICORNERT","OCOR_DOWNT","OCOR_DOWNT","60","Singularities"
"L14","BSR","OCOR_LEFTT","OCOR_LEFTT","EBICORNERT","SOLID","60","Singularities"
"L21","BED","SBICORNERT","EMPTY","HCOR_UPT","HCOR_UPT","40","Singularities"
"L22","BEL","HCOR_RIGHTT","HCOR_RIGHTT","EMPTY","SBICORNERT","40","Singularities"
"L23","BEU","EMPTY","SBICORNERT","HCOR_DOWNT","HCOR_DOWNT","40","Singularities"
"L24","BER","HCOR_LEFTT","HCOR_LEFTT","SBICORNERT","EMPTY","40","Singularities"
